,주소,이름,경도,위도
0,서울 강서구 화곡동 1103-6,화곡6-1 공영주차장,126.848645770138,37.5530213584868
1,서울 강서구 화곡동 1109-1,화곡6동 방죽길 노상공영주차장,126.852858478481,37.5544754867841
2,서울 강서구 등촌동 639-11,홈플러스 강서점 주차장,126.85501470021417,37.5584101039439
3,서울 양천구 목동 614-3,목동깨비시장 공동주차장,126.863684553801,37.5482283504022
4,서울 강서구 화곡동 980-16,강서구청 주차장,126.84982274909,37.550757753903
5,서울 강서구 화곡동 1112-10,우장주차장,126.852357582484,37.5536711721168
6,서울 강서구 화곡동 1120-13,새한주차장,126.852033739756,37.5526147979939
7,서울 강서구 화곡동 1130-4,서울등서초등학교 공영주차장,126.8544775846826,37.55176188769133
8,서울 강서구 가양동 1488-12,가양3동공영주차장,126.859782656903,37.5603403907712
9,서울 강서구 화곡동 1111-8,화곡8동방죽길노상공영주차장,126.851616044604,37.5532368629172
10,서울 강서구 화곡동 1002-7,노상공영주차장,126.850568411898,37.5519426106072
11,서울 강서구 등촌동 533-2,등촌역 공유주차장,126.862196135352,37.5514828288794
12,서울 강서구 등촌동 630,맥도날드 등촌DT점 주차장,126.859670881388,37.5583841949073
13,서울 강서구 등촌동 707-3,강서구민올림픽체육센터 주차장,126.850584671952,37.5596695796991
14,서울 양천구 목동 610-5,한두공영주차장,126.866159600399,37.5487573646082
15,서울 강서구 마곡동 728-43,마곡8공영주차장,126.83444749848745,37.55660989583425
16,서울 강서구 마곡동 727-1167,SNU서울병원 주차장,126.833982916485,37.5594149458983
17,서울 강서구 마곡동 796-3,마곡사이언스타워 주차장,126.833890972898,37.5605554774756
18,서울 강서구 마곡동 760,보타닉파크웨딩 주차장,126.826386763068,37.5675183845641
19,서울 강서구 마곡동 760-3,마곡광장 주차장,126.82646210770984,37.56675535275557
20,서울 강서구 마곡동 728-152,이너매스2 주차장,126.830706344116,37.5579290555541
21,서울 강서구 마곡동 800,나인스퀘어 주차장,126.83026281342795,37.55887266274926
22,서울 강서구 마곡동 800-1,퀸즈파크11차 주차장,126.83101335682079,37.55879715468787
23,서울 강서구 마곡동 812,서울식물원 주차장1,126.835261417385,37.5704016705653
24,서울 강서구 마곡동 797-1,퀸즈파크나인 주차장,126.83580546239092,37.55925081026428
25,서울 강서구 마곡동 727-1264,열린프라자 주차장,126.837699291529,37.56013550392
26,서울 강서구 마곡동 774-4,센트럴타워1차 주차장,126.83249537894201,37.559576826155215
27,서울 강서구 마곡동 308-4,마곡나루 제7임시주차장,126.82625685249657,37.57130507306302
28,서울 강서구 마곡동 771-3,보타닉파크타워3차 주차장,126.82910746731615,37.56076488961116
29,서울 강서구 마곡동 774-11,NY타워 주차장,126.83267413691433,37.56011227123635
30,서울 강서구 공항동 1373,김포국제공항 국내선 제1주차장,126.80462850856942,37.55994305433911
31,서울 강서구 방화동 886,김포공항 국제선 지하주차장,126.80233457621095,37.564998324112366
32,서울 강서구 공항동 1373,김포공항 국내선 제2주차장,126.8074287729098,37.55810962347857
33,서울 강서구 공항동 12-3,공항중학교 김포공항 공영주차장,126.81459452891538,37.56292970715358
34,서울 강서구 마곡동 739,서울시설공단 신방화공영주차장,126.81778599811561,37.566784627577114
35,서울 강서구 방화동 886,롯데몰 김포공항점 주차장,126.803567316919,37.5640876737846
36,서울 강서구 방화동 845,개화산공영주차장,126.805225711102,37.5722642421011
37,서울 강서구 방화동 578-8,방신전통시장노상공영주차장,126.81308278404,37.5718291498828
38,서울 강서구 방화동 886,김포국제공항 국제선 행사전용주차장,126.802333222301,37.5667958061853
39,서울 강서구 방화동 516-2,개화산역 공영주차장,126.804451850423,37.5721043878949
40,서울 강서구 방화동 612-18,관문주차장,126.809771364449,37.5635211962169
41,서울 강서구 과해동 676,김포공항 주차장1,126.798905688395,37.5617912982852
42,서울 강서구 공항동 1375,로얄스퀘어호텔 주차장,126.810326105318,37.5607902708694
43,서울 강서구 공항동 25-8,광장주차장,126.81253355522884,37.56152810785715
44,서울 강서구 방화동 249-22,미선집 주차장,126.813085836256,37.5678900080817
45,서울 강서구 화곡동 98-99,볏골공원공영주차장,126.84454774631729,37.54165174623614
46,서울 강서구 화곡동 662-15,강서구가로공원 공영주차장,126.83918767116832,37.537458526411875
47,서울 강서구 화곡동 1060-18,화곡5-3공영주차장,126.842307145061,37.5433507620259
48,서울 강서구 화곡동 890,곰달래문화복지센터 공영주차장,126.84904012593968,37.52918953810066
49,서울 강서구 화곡동 341-65,화곡판타지아 주차장,126.846685851615,37.5324886724198
50,서울 양천구 신월동 114-16,신영시장 고객주차장,126.836210337545,37.5330134065604
51,서울 강서구 화곡동 424-94,화곡1-1지구공영주차장,126.839874928975,37.5314218596741
52,서울 강서구 화곡동 370-63,화곡7-1공영주차장,126.839159088601,37.5360159871525
53,서울 강서구 화곡동 338-31,화곡주차장,126.845744033611,37.5338326392979
54,서울 강서구 화곡동 1030-33,화곡5-1공영주차장,126.839920728059,37.5438701302108
55,서울 강서구 화곡동 1045,화곡3-1공영주차장,126.834729254683,37.5417690576203
56,서울 강서구 화곡동 61-184,서울화일초등학교 화일주차장,126.847394680295,37.5410869293284
57,서울 양천구 신월동 226-9,곰달래공영주차장,126.836027854224,37.5295461038634
58,서울 강서구 화곡동 949-8,화곡1동배다리서길 노상공영주차장,126.84383648930736,37.528403406282585
59,서울 강서구 화곡동 1073-10,주차장,126.837464820456,37.5404186531997
