,지번주소,동,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
0,서울특별시 강서구 등촌동 510-12 1층,등촌동,봉구스 밥버거,한식,187805.359,449620.6035,126.85990067639837,37.54876817343297
1,서울특별시 강서구 마곡동 799-3 문영 퀸즈파크12차,마곡동,모루야,일식,184825.6763,450763.3366,126.82615830309449,37.559019616455195
2,서울특별시 강서구 화곡동 359-86,화곡동,아쿠아리어스 AQuarius,기타,185701.5395,447825.3666,126.83612855677542,37.53256292122285
3,서울특별시 강서구 마곡동 776-2 외 1필지 마곡센트럴대방디엠시티오피스텔 (지상 2층) 205-1호,마곡동,수성,한식,185827.2394,451790.6995,126.83747379361901,37.56829201891165
4,"서울특별시 강서구 마곡동 799-4 마곡지웰타워 114,115호",마곡동,부대냉삼 이백집,한식,184865.6882,450758.1659,126.82661125414714,37.55897368977938
5,서울특별시 강서구 마곡동 759-3 보타닉파크타워Ⅰ 211호,마곡동,더블에스,한식,184555.6892,451767.8335,126.82308142820743,37.568065477086996
6,서울특별시 강서구 내발산동 750-10 웨스트엔드중정 106호,내발산동,알촌 마곡점,한식,184623.199,450094.6599,126.82388078759642,37.55299156417823
7,서울특별시 강서구 화곡동 929-4 1층,화곡동,냉철한삼겹 화곡동점,한식,185945.1711,447332.6018,126.83889440882804,37.52812691727606
8,서울특별시 강서구 내발산동 649-6 1층,내발산동,일키로 탕수육,한식,186116.0043,450520.1882,126.84076651826294,37.55684931036659
9,서울특별시 강서구 내발산동 666-4 1층,내발산동,쥐쥐엔비카페(GGNB_Cafe),경양식,185572.8432,450331.5544,126.83462306614366,37.55514136717655
10,서울특별시 강서구 마곡동 797-4 발산파크프라자 (지상 2층) 208호,마곡동,명량간장게장(주) 마곡점,한식,185486.6703,450776.8978,126.83363898850777,37.55915249114075
11,서울특별시 강서구 염창동 273-15 (지하1층),염창동,블루문,경양식,188063.0627,449930.3206,126.86281184024982,37.55156207873277
12,서울특별시 강서구 내발산동 750-9 웨스트엔드문화센터,내발산동,코코브리또,"외국음식전문점(인도,태국등)",184615.2625,450059.8126,126.82379170506722,37.55267746179914
13,서울특별시 강서구 마곡동 795-1 필네이처 107호,마곡동,직화커피 서양콩차,기타,185522.9304,450941.4262,126.83404611108672,37.56063544135237
14,서울특별시 강서구 마곡동 793-9 플레이스에이치,마곡동,낙지야 왜조개?,중국식,185668.6178,450985.7721,126.83569412835453,37.561037278418944
15,서울특별시 강서구 마곡동 795-6 뉴골든타워 106호,마곡동,생활맥주 발산역점,한식,185554.2994,450891.3124,126.8344021358018,37.560184417513135
16,서울특별시 강서구 화곡동 1170 우장산역 해링턴 타워 132~135호,화곡동,수백당 우장산역점,한식,185432.7672,449342.4335,126.83305751867371,37.546227302488816
17,서울특별시 강서구 등촌동 673-6 성원상떼뷰오피스텔 206호 일부,등촌동,오대보칼국수&보쌈,한식,185796.5222,450735.8847,126.83714661463291,37.55878781688419
18,서울특별시 강서구 마곡동 774-9 사이언스타,마곡동,라화방 마라탕,중국식,185095.247,450885.0584,126.82920674929154,37.56012072932643
19,서울특별시 강서구 방화동 908 힐스테이트 신방화역 123호,방화동,맘모스 중화요리,중국식,183659.8233,451676.5084,126.81294308023047,37.567227140235886
20,서울특별시 강서구 방화동 249-259,방화동,참맛나 치킨,호프/통닭,183414.2035,451870.425,126.81015851675267,37.56896989140706
21,서울특별시 강서구 마곡동 800-4 발산W타워 208호,마곡동,더 하루(The Haru),한식,185104.2017,450725.7851,126.82931134476134,37.558685845144616
22,서울특별시 강서구 화곡동 840-11,화곡동,된장마을 고깃집(강서화곡점),한식,187392.7507,447691.5381,126.85526479838039,37.531381914657395
23,"서울특별시 강서구 방화동 886 김포공항, 롯데몰, 스카이시티 GF층",방화동,호시카츠 롯데몰 김포공항점,일식,182524.8238,451438.2509,126.800101763683,37.56505957682971
24,서울특별시 강서구 화곡동 348-4,화곡동,카페이지,한식,186223.7811,447873.7737,126.84203615119976,37.533007046126
25,서울특별시 강서구 마곡동 795-7 열린프라자,마곡동,발렌타인 하우스 BAR,기타,185590.1505,450885.1857,126.8348080162819,37.56012978047625
26,서울특별시 강서구 내발산동 665-24 장원빌딩,내발산동,병아리김밥 발산점,분식,185617.9308,450298.274,126.83513398433381,37.55484222285212
27,서울특별시 강서구 염창동 249-10 103호,염창동,도미노피자 염창점,경양식,188647.2075,449864.7935,126.86942340749148,37.550979105224584
28,"서울특별시 강서구 마곡동 797-9 매그넘797(지상4층), 412,413호",마곡동,파이널나인 마곡점,경양식,185340.7437,450856.8287,126.83198582313221,37.559870337859195
29,서울특별시 강서구 화곡동 464-8 궁전빌딩 (지상 1층),화곡동,강서로 솥뚜껑,통닭(치킨),187204.7031,448110.6305,126.85312997391223,37.53515529658997
30,서울특별시 강서구 마곡동 795-5 마곡사이언스파크뷰 103호,마곡동,경아식당,한식,185517.646,450898.3544,126.8339871562211,37.56024728721412
